省份,城市,City,邮政行业业务收入万元,电信业务收入万元,移动电话年末用户数万户
甘肃省,  天水市, Tianshui,90794,185371,309
甘肃省,  武威市, Wuwei,42600,119607,212
甘肃省,  张掖市, Zhangye,31190,98856,91
甘肃省,  平凉市, Pingliang,39757,135450,194
甘肃省,  酒泉市, Jiuquan,35800,117164,138
甘肃省,  庆阳市, Qingyang,62400,213200,247
甘肃省,  定西市, Dingxi,49900,196146,265
甘肃省,  陇南市, Longnan,48393,194729,247
青海省,  西宁市, Xining,118300,381768,323
青海省,  海东市, Haidong,23170,92723,144
宁夏回族自治区,  银川市, Yinchuan,201700,375881,399
宁夏回族自治区,  石嘴山市, Shizuishan,21447,65833,99
宁夏回族自治区,  吴忠市, Wuzhong,31411,105000,166
宁夏回族自治区,  固原市, Guyuan,22800,74000,126
宁夏回族自治区,  中卫市, Zhongwei,21301,168000,122
新疆维吾尔自治区,  乌鲁木齐市, Urumqi,58487,827881,595
新疆维吾尔自治区,  克拉玛依市, Karamay,20299,72508,67
新疆维吾尔自治区,  吐鲁番市, Turpan,16080,53242,72
新疆维吾尔自治区,  哈密市, Hami,27650,102004,83
