省份,城市,City,普通职业本专科_全市,中等职业教育学校_全市,中等职业教育学校_市辖区
安徽省,  阜阳市, Fuyang,67150,107889,57285
安徽省,  宿州市, Suzhou,42125,69016,19371
安徽省,  六安市, Lu'an,54898,51771,25500
安徽省,  亳州市, Bozhou,22958,47247,18777
安徽省,  池州市, Chizhou,44194,14416,7250
安徽省,  宣城市, Xuancheng,13677,25846,9399
福建省,  福州市, Fuzhou,434843,105036,79612
福建省,  厦门市, Xiamen,195203,40957,40957
福建省,  莆田市, Putian,39838,30598,19349
福建省,  三明市, Sanming,46064,31708,16524
福建省,  泉州市, Quanzhou,226537,90565,30061
福建省,  漳州市, Zhangzhou,105199,40336,17581
福建省,  南平市, Nanping,47708,23600,12800
福建省,  龙岩市, Longyan,26962,22673,11870
福建省,  宁德市, Ningde,17636,25086,3699
江西省,  南昌市, Nanchang,786995,38502,30547
江西省,  景德镇市, Jingdezhen,67103,19695,10906
江西省,  萍乡市, Pingxiang,53262,19792,4359
江西省,  九江市, Jiujiang,192117,37848,13280
江西省,  新余市, Xinyu,65963,29645,28330
江西省,  鹰潭市, Yingtan,13974,17327,13011
江西省,  赣州市, Ganzhou,228944,116392,59262
江西省,  吉安市, Ji'an,72035,46477,15895
江西省,  宜春市, Yichun,74246,51597,16996
江西省,  抚州市, Fuzhou,32070,33283,13000
江西省,  上饶市, Shangrao,51083,54212,27166
 山东省,  济南市, Jinan,631671,60528,53195
 山东省,  青岛市, Qingdao,424226,90352,63866
 山东省,  淄博市, Zibo,206748,30723,22660
 山东省,  枣庄市, Zaozhuang,33003,42151,28063
 山东省,  东营市, Dongying,49868,26784,15728
 山东省,  烟台市, Yantai,289860,46343,4153
 山东省,  潍坊市, Weifang,290731,89225,30355
 山东省,  济宁市, Jining,161474,61347,20976
 山东省,  泰安市, Tai'an,126949,42394,14611
 山东省,  威海市, Weihai,135117,23601,6284
 山东省,  日照市, Rizhao,96627,33864,21241
 山东省,  临沂市, Linyi,145219,108970,48903
 山东省,  德州市, Dezhou,73770,47503,20041
 山东省,  聊城市, Liaocheng,57881,58000,35060
 山东省,  滨州市, Binzhou,61679,31024,15561
 山东省,  菏泽市, Heze,67145,133033,38202
河南省,  郑州市, Zhengzhou,1393573,312312,193860
河南省,  开封市, Kaifeng,75948,56671,36046
河南省,  洛阳市, Luoyang,164741,91257,47606
河南省,  平顶山市, Pingdingshan,95141,36527,17783
河南省,  安阳市, Anyang,137176,48089,20250
河南省,  鹤壁市, Hebi,31694,13827,7630
河南省,  新乡市, Xinxiang,219011,59744,17232
河南省,  焦作市, Jiaozuo,116392,38112,14996
河南省,  濮阳市, Puyang,37878,35368,12938
河南省,  许昌市, Xuchang,88200,42424,23374
河南省,  漯河市, Luohe,42769,32231,28124
河南省,  三门峡市, Sanmenxia,52567,13414,8018
河南省,  南阳市, Nanyang,137703,111055,40301
河南省,  商丘市, Shangqiu,126832,59920,27114
河南省,  信阳市, Xinyang,122775,59303,18656
河南省,  周口市, Zhoukou,76217,50883,25207
河南省,  驻马店市, Zhumadian,50973,51674,20917
湖北省,  武汉市, Wuhan,1161053,77759,77759
湖北省,  黄石市, Huangshi,65941,17208,9178
湖北省,  十堰市, Shiyan,67988,31864,18446
湖北省,  宜昌市, Yichang,73855,31239,15486
湖北省,  襄阳市, Xiangyang,64922,38302,22985
湖北省,  鄂州市, Ezhou,17522,8065,8065
湖北省,  荆门市, Jingmen,28422,24402,12769
湖北省,  孝感市, Xiaogan,47345,30373,11389
湖北省,  荆州市, Jingzhou,118306,28906,13414
湖北省,  黄冈市, Huanggang,57697,51889,8608
湖北省,  咸宁市, Xianning,42973,28768,10851
湖北省,  随州市, Suizhou,8979,13054,5460
湖南省,  长沙市, Changsha,795531,108078,59305
湖南省,  株洲市, Zhuzhou,127518,30284,16119
湖南省,  湘潭市, Xiangtan,182047,20902,11779
湖南省,  衡阳市, Hengyang,161864,70400,34000
湖南省,  邵阳市, Shaoyang,57107,79263,25624
湖南省,  岳阳市, Yueyang,61774,53927,14004
湖南省,  常德市, Changde,82131,49168,16683
湖南省,  张家界市, Zhangjiajie,35254,13937,5818
湖南省,  益阳市, Yiyang,82356,39959,15679
湖南省,  郴州市, Chenzhou,44600,50111,12688
湖南省,  永州市, Yongzhou,56043,82410,24419
湖南省,  怀化市, Huaihua,51087,52517,13725
湖南省,  娄底市, Loudi,50004,38070,13716
广东省,  广州市, Guangzhou,1468613,148862,148862
广东省,  韶关市, Shaoguan,42923,33995,3103
广东省,  深圳市, Shenzhen,105347,44099,44099
广东省,  珠海市, Zhuhai,65624,3593,3593
广东省,  汕头市, Shantou,36393,58655,58655
广东省,  佛山市, Foshan,92182,69817,69817
广东省,  江门市, Jiangmen,70556,34476,5280
广东省,  湛江市, Zhanjiang,151239,78129,51122
广东省,  茂名市, Maoming,79614,71538,26136
广东省,  肇庆市, Zhaoqing,110645,66379,53162
广东省,  惠州市, Huizhou,67087,59959,45720
广东省,  梅州市, Meizhou,30295,25912,16094
广东省,  汕尾市, Shanwei,8602,20479,6968
广东省,  河源市, Heyuan,14925,36441,29479
广东省,  阳江市, Yangjiang,11371,19079,7486
广东省,  清远市, Qingyuan,33310,38614,16967
广东省,  东莞市, Dongguan,119115,65554,
广东省,  中山市, Zhongshan,35653,29582,
广东省,  潮州市, Chaozhou,28770,12651,10222
广东省,  揭阳市, Jieyang,13344,30310,10778
广东省,  云浮市, Yunfu,15764,22151,11353
广西壮族自治区,  南宁市, Nanning,714401,71100,60950
广西壮族自治区,  柳州市, Liuzhou,118302,33533,31498
广西壮族自治区,  桂林市, Guilin,598154,21954,11840
广西壮族自治区,  梧州市, Wuzhou,47662,22049,11634
广西壮族自治区,  北海市, Beihai,53574,18126,15494
广西壮族自治区,  防城港市, Fangchenggang,6650,5188,4683
广西壮族自治区,  钦州市, Qinzhou,41345,26722,11844
广西壮族自治区,  贵港市, Guigang,26201,34259,19957
广西壮族自治区,  玉林市, Yulin,39822,54845,41295
广西壮族自治区,  百色市, Baise,77952,24132,12602
广西壮族自治区,  贺州市, Hezhou,25156,11707,8299
广西壮族自治区,  河池市, Hechi,33264,26224,14066
广西壮族自治区,  来宾市, Laibin,25311,15017,11880
广西壮族自治区,  崇左市, Chongzuo,142352,8841,5712
海南省,  海口市, Haikou,184473,78598,78598
海南省,  三亚市, Sanya,66576,297,297
海南省,  三沙市, Sansha,,,
海南省,  儋州市, Danzhou,3308,,
重庆市,重庆市,Chongqing,1100170,474770,321477
四川省,  成都市, Chengdu,1140856,175420,137561
四川省,  自贡市, Zigong,56291,35804,24336
四川省,  攀枝花市, Panzhihua,34622,12082,10509
四川省,  泸州市, Luzhou,94137,68015,31827
四川省,  德阳市, Deyang,166783,30732,14502
四川省,  绵阳市, Mianyang,187797,48214,24797
四川省,  广元市, Guangyuan,21858,26932,11666
四川省,  遂宁市, Suining,20874,21180,4979
四川省,  内江市, Neijiang,62687,29478,18444
四川省,  乐山市, Leshan,51540,37246,2620
四川省,  南充市, Nanchong,81424,43551,
四川省,  眉山市, Meishan,443747,18172,
四川省,  宜宾市, Yibin,39300,62893,32520
四川省,  广安市, Guang'an,13961,38692,10966
四川省,  达州市, Dazhou,42572,57283,25864
四川省,  雅安市, Ya'an,54899,12339,7197
四川省,  巴中市, Bazhong,11869,32494,9957
四川省,  资阳市, Ziyang,29169,23756,14531
贵州省,  贵阳市, Guiyang,473267,93498,
贵州省,  六盘水市, Liupanshui,13292,66336,33051
贵州省,  遵义市, Zunyi,111669,54974,21549
贵州省,  安顺市, Anshun,29590,21081,10314
贵州省,  毕节市, Bijie,62628,38821,13345
贵州省,  铜仁市, Tongren,11773,44169,10461
云南省,  昆明市, Kunming,793451,120207,67909
云南省,  曲靖市, Qujing,44834,70334,54858
云南省,  玉溪市, Yuxi,27086,13639,9154
云南省,  保山市, Baoshan,28806,20137,9342
云南省,  昭通市, Zhaotong,22220,20019,7990
云南省,  丽江市, Lijiang,31807,5086,2732
云南省,  普洱市, Pu'er,13120,19390,5571
云南省,  临沧市, Lincang,10487,11930,4843
西藏自治区,  拉萨市, Lhasa,24613,9437,9437
西藏自治区,  日喀则市, Xigaze,6945,3945,
西藏自治区,  昌都市, Qamdo,5137,,
西藏自治区,  林芝市, Nyingchi,7377,2499,2499
西藏自治区,  山南市, Lhoka,4250,,
西藏自治区,  那曲市, Nagqu,2782,,
陕西省,  西安市, Xi'an,850044,203192,199073
陕西省,  铜川市, Tongchuan,9663,647,647
陕西省,  宝鸡市, Baojji,53949,26000,16200
陕西省,  咸阳市, Xianyang,122745,29805,8664
陕西省,  渭南市, Weinan,56040,33906,14386
陕西省,  延安市, Yan'an,26695,14650,
陕西省,  汉中市, Hanzhong,49121,19250,7981
陕西省,  榆林市, Yulin,34749,34599,12328
陕西省,  安康市, Ankang,24983,19542,10092
陕西省,  商洛市, Shangluo,25957,14567,4082
甘肃省,  兰州市, Lanzhou,449768,26904,11042
甘肃省,  嘉峪关市, Jiayuguan,7186,626,
甘肃省,  金昌市, Jinchang,8489,3055,1620
甘肃省,  白银市, Baiyin,14024,11446,4564
甘肃省,  天水市, Tianshui,46894,24354,11242
甘肃省,  武威市, Wuwei,22187,15227,10564
甘肃省,  张掖市, Zhangye,25617,11723,6407
甘肃省,  平凉市, Pingliang,30309,18077,3309
甘肃省,  酒泉市, Jiuquan,12507,9086,5867
甘肃省,  庆阳市, Qingyang,27528,19859,7511
甘肃省,  定西市, Dingxi,683,14585,3391
甘肃省,  陇南市, Longnan,8757,15504,3891
青海省,  西宁市, Xining,88587,31318,24749
青海省,  海东市, Haidong,3678,21432,6332
宁夏回族自治区,  银川市, Yinchuan,137716,37707,25258
宁夏回族自治区,  石嘴山市, Shizuishan,21866,11482,11482
宁夏回族自治区,  吴忠市, Wuzhong,7607,8495,91
宁夏回族自治区,  固原市, Guyuan,10139,10434,4207
宁夏回族自治区,  中卫市, Zhongwei,8055,3822,
新疆维吾尔自治区,  乌鲁木齐市, Urumqi,247016,35969,35969
新疆维吾尔自治区,  克拉玛依市, Karamay,22651,1858,1858
新疆维吾尔自治区,  吐鲁番市, Turpan,6607,4471,2621
新疆维吾尔自治区,  哈密市, Hami,6150,3301,3301
