省份,城市,City,细颗粒物年平均浓度微克立方米,空气质量优良天数比例,污水处理厂集中处理率,生活垃圾无害化处理率
安徽省,  黄山市, Huangshan,21,97.50,97.41,100.00
安徽省,  滁州市, Chuzhou,34,79.50,97.92,100.00
安徽省,  阜阳市, Fuyang,40,76.40,97.80,100.00
安徽省,  宿州市, Suzhou,41,72.30,96.67,100.00
安徽省,  六安市, Lu'an,31,87.40,96.75,100.00
安徽省,  亳州市, Bozhou,39,74.00,97.87,100.00
安徽省,  池州市, Chizhou,32,86.30,97.51,100.00
安徽省,  宣城市, Xuancheng,30,94.20,97.80,100.00
福建省,  福州市, Fuzhou,19,98.10,96.40,100.00
福建省,  厦门市, Xiamen,20,99.70,100.00,100.00
福建省,  莆田市, Putian,20,96.44,98.33,100.00
福建省,  三明市, Sanming,22,100.00,87.42,100.00
福建省,  泉州市, Quanzhou,22,96.20,97.93,100.00
福建省,  漳州市, Zhangzhou,18,99.33,96.73,100.00
福建省,  南平市, Nanping,18,99.80,98.90,100.00
福建省,  龙岩市, Longyan,18,99.70,97.97,100.00
福建省,  宁德市, Ningde,15,99.50,97.45,100.00
江西省,  南昌市, Nanchang,33,92.33,99.40,100.00
江西省,  景德镇市, Jingdezhen,25,98.60,97.23,100.00
江西省,  萍乡市, Pingxiang,35,94.50,99.70,100.00
江西省,  九江市, Jiujiang,33,91.20,100.00,
江西省,  新余市, Xinyu,30,96.82,98.45,100.00
江西省,  鹰潭市, Yingtan,27,97.00,99.80,100.00
江西省,  赣州市, Ganzhou,20,99.18,95.58,100.00
江西省,  吉安市, Ji'an,29,98.60,88.38,100.00
江西省,  宜春市, Yichun,31,97.30,,
江西省,  抚州市, Fuzhou,27,97.80,54.58,100.00
江西省,  上饶市, Shangrao,26,97.00,93.06,100.00
山东省,  济南市, Jinan,38,62.60,98.38,100.00
山东省,  青岛市, Qingdao,29,78.90,98.59,100.00
山东省,  淄博市, Zibo,41,64.70,98.47,100.00
山东省,  枣庄市, Zaozhuang,42,64.10,98.43,100.00
山东省,  东营市, Dongying,35,61.60,98.56,100.00
山东省,  烟台市, Yantai,26,82.50,98.26,100.00
山东省,  潍坊市, Weifang,37,70.96,98.55,100.00
山东省,  济宁市, Jining,43,65.50,98.62,100.00
山东省,  泰安市, Tai'an,40,64.10,98.41,100.00
山东省,  威海市, Weihai,22,86.60,98.60,100.00
山东省,  日照市, Rizhao,30,81.10,98.50,100.00
山东省,  临沂市, Linyi,40,63.80,98.46,100.00
山东省,  德州市, Dezhou,44,54.40,98.46,100.00
山东省,  聊城市, Liaocheng,46,56.16,98.45,100.00
山东省,  滨州市, Binzhou,41,59.50,98.62,100.00
山东省,  菏泽市, Heze,46,63.01,97.93,100.00
河南省,  郑州市, Zhengzhou,43,61.90,99.44,100.00
河南省,  开封市, Kaifeng,47,63.01,100.00,100.00
河南省,  洛阳市, Luoyang,46,67.40,100.00,100.00
河南省,  平顶山市, Pingdingshan,44,68.49,100.00,100.00
河南省,  安阳市, Anyang,50,58.10,99.86,100.00
河南省,  鹤壁市, Hebi,48,62.74,100.00,100.00
河南省,  新乡市, Xinxiang,47,62.20,99.00,100.00
河南省,  焦作市, Jiaozuo,45,61.40,100.00,100.00
河南省,  濮阳市, Puyang,50,65.80,100.00,100.00
