省份,城市,City,地方本级一般公共预算收入,地方一般公共预算支出,科学技术支出,教育支出
福建省,  莆田市, Putian,1318404,2101222,14334,583795
福建省,  三明市, Sanming,447022,1252195,11443,222246
福建省,  泉州市, Quanzhou,1597497,2466488,69449,519094
福建省,  漳州市, Zhangzhou,1782899,2649020,27051,598829
福建省,  南平市, Nanping,469929,1386381,12797,198068
福建省,  龙岩市, Longyan,926951,1757123,10124,352069
福建省,  宁德市, Ningde,912893,1272332,49026,217251
江西省,  南昌市, Nanchang,3586878,6465819,275325,1040719
江西省,  景德镇市, Jingdezhen,450624,1253441,50858,186714
江西省,  萍乡市, Pingxiang,586475,1441132,51432,226422
江西省,  九江市, Jiujiang,1264500,2679948,32898,404152
江西省,  新余市, Xinyu,758588,1698690,27338,127222
江西省,  鹰潭市, Yingtan,455115,944473,55473,124175
江西省,  赣州市, Ganzhou,1068044,2359364,105718,545889
江西省,  吉安市, Ji'an,198984,591378,19792,137598
江西省,  宜春市, Yichun,748032,2196089,110779,355373
江西省,  抚州市, Fuzhou,452205,1553397,84262,305118
江西省,  上饶市, Shangrao,1288611,3369984,108012,549090
山东省,  济南市, Jinan,10057359,12754294,464614,2254942
山东省,  青岛市, Qingdao,10936789,13657115,396091,2500876
山东省,  淄博市, Zibo,3102206,4210064,76518,895410
山东省,  枣庄市, Zaozhuang,1136623,2420455,30414,455559
山东省,  东营市, Dongying,2008032,2834840,28209,599620
山东省,  烟台市, Yantai,3846754,5549252,166159,839444
山东省,  潍坊市, Weifang,2131337,3486895,115010,671042
山东省,  济宁市, Jining,2194494,3201633,74148,675399
山东省,  泰安市, Tai'an,1192988,2240072,40322,402924
山东省,  威海市, Weihai,1591837,2655664,73199,515200
山东省,  日照市, Rizhao,1534383,2094780,96472,368907
山东省,  临沂市, Linyi,2304727,3599767,76072,933109
山东省,  德州市, Dezhou,986057,2420752,68012,321663
山东省,  聊城市, Liaocheng,1512691,2745089,7106,476808
山东省,  滨州市, Binzhou,1034173,1896420,42011,311674
山东省,  菏泽市, Heze,1233792,2730043,28849,428778
河南省,  郑州市, Zhengzhou,8584886,10878105,782105,1742393
河南省,  开封市, Kaifeng,702130,2015321,46170,305752
河南省,  洛阳市, Luoyang,2628579,3936198,271409,627467
河南省,  平顶山市, Pingdingshan,1220988,1690912,53109,286620
河南省,  安阳市, Anyang,1177897,1867285,55577,326151
河南省,  鹤壁市, Hebi,602716,1075093,42570,178784
河南省,  新乡市, Xinxiang,887239,1724693,67362,319087
河南省,  焦作市, Jiaozuo,682698,1390254,32427,206176
河南省,  濮阳市, Puyang,634167,1389093,48641,281329
河南省,  许昌市, Xuchang,934045,1474768,69839,294150
河南省,  漯河市, Luohe,908007,1700517,102229,285246
河南省,  三门峡市, Sanmenxia,642774,1200214,70725,210401
河南省,  南阳市, Nanyang,1027266,2435863,29402,495949
河南省,  商丘市, Shangqiu,768225,2069814,28235,298387
河南省,  信阳市, Xinyang,501430,2262525,50368,312835
河南省,  周口市, Zhoukou,650511,2367009,9270,305508
河南省,  驻马店市, Zhumadian,693315,1718446,50324,261783
湖北省,  武汉市, Wuhan,16011990,22040782,1813716,3394781
湖北省,  黄石市, Huangshi,807481,1556348,42684,202571
湖北省,  十堰市, Shiyan,813247,2097481,55791,301508
湖北省,  宜昌市, Yichang,1533672,3541095,161197,436931
湖北省,  襄阳市, Xiangyang,1637356,3698890,59967,514002
湖北省,  鄂州市, Ezhou,901970,1659150,62019,243462
湖北省,  荆门市, Jingmen,739781,1332482,42417,177304
湖北省,  孝感市, Xiaogan,536327,1510989,42290,191902
湖北省,  荆州市, Jingzhou,931334,2334172,112082,239828
湖北省,  黄冈市, Huanggang,458348,1275207,13021,140283
湖北省,  咸宁市, Xianning,422381,1055421,32982,161328
湖北省,  随州市, Suizhou,321824,949026,10897,139804
湖南省,  长沙市, Changsha,3778572,5532157,161863,1203129
湖南省,  株洲市, Zhuzhou,1302517,3926213,228756,441702
湖南省,  湘潭市, Xiangtan,223319,1032386,34594,90457
湖南省,  衡阳市, Hengyang,913840,2556204,82148,345840
湖南省,  邵阳市, Shaoyang,480658,2048601,47476,210059
湖南省,  岳阳市, Yueyang,1114388,2440555,72690,271053
湖南省,  常德市, Changde,409860,1164639,34410,191984
湖南省,  张家界市, Zhangjiajie,107171,638012,11900,93856
湖南省,  益阳市, Yiyang,583120,1738756,65062,227395
湖南省,  郴州市, Chenzhou,745194,1917784,71508,280487
湖南省,  永州市, Yongzhou,251007,937852,40341,176238
湖南省,  怀化市, Huaihua,69764,281611,7195,77359
湖南省,  娄底市, Loudi,540083,1291699,28273,203674
广东省,  广州市, Guangzhou,19450562,29716481,1949553,6433879
广东省,  韶关市, Shaoguan,582710,1383815,13323,214801
广东省,  深圳市, Shenzhen,41129194,50124309,4549353,10014474
广东省,  珠海市, Zhuhai,4825086,6718565,576528,1138161
广东省,  汕头市, Shantou,1316357,3602180,36037,998811
广东省,  佛山市, Foshan,8004626,9827303,573562,2124155
广东省,  江门市, Jiangmen,1028883,1445905,58106,358560
广东省,  湛江市, Zhanjiang,969949,2208549,14071,457035
广东省,  茂名市, Maoming,434590,1574435,6187,472923
广东省,  肇庆市, Zhaoqing,1116434,2091982,43687,430040
广东省,  惠州市, Huizhou,3266799,4735726,173063,875575
广东省,  梅州市, Meizhou,426793,1280553,10750,284306
广东省,  汕尾市, Shanwei,325150,840769,21062,168990
广东省,  河源市, Heyuan,319631,899305,10230,234149
广东省,  阳江市, Yangjiang,509086,1471097,9674,273538
广东省,  清远市, Qingyuan,872903,1894267,20445,452771
广东省,  东莞市, Dongguan,,,,
广东省,  中山市, Zhongshan,,,,
广东省,  潮州市, Chaozhou,497926,1374805,9158,307537
广东省,  揭阳市, Jieyang,528511,1397262,7025,308401
广东省,  云浮市, Yunfu,235910,576486,5501,143963
广西壮族自治区,  南宁市, Nanning,3681807,6027314,144193,1064222
广西壮族自治区,  柳州市, Liuzhou,1305631,2228746,13213,491427
广西壮族自治区,  桂林市, Guilin,696049,1989410,32040,289198
广西壮族自治区,  梧州市, Wuzhou,388219,1088333,25473,254124
广西壮族自治区,  北海市, Beihai,692630,1333882,24836,236644
广西壮族自治区,  防城港市, Fangchenggang,427258,1024147,17041,154091
广西壮族自治区,  钦州市, Qinzhou,637449,1604731,26736,284748
广西壮族自治区,  贵港市, Guigang,422569,1711323,24418,313716
广西壮族自治区,  玉林市, Yulin,447824,1449613,25745,239315
广西壮族自治区,  百色市, Baise,441830,1423787,23231,218365
广西壮族自治区,  贺州市, Hezhou,344024,1204089,18115,207366
广西壮族自治区,  河池市, Hechi,128992,573329,5891,137188
广西壮族自治区,  来宾市, Laibin,311095,1059707,16606,179106
广西壮族自治区,  崇左市, Chongzuo,193728,792097,15192,87032
海南省,  海口市, Haikou,2668655,3695399,56090,550322
海南省,  三亚市, Sanya,516604,677997,767,150372
海南省,  三沙市, Sansha,,,,
海南省,  儋州市, Danzhou,,,,
重庆市,重庆市,Chongqing,13913907,27695183,673813,5248191
四川省,  成都市, Chengdu,14086518,16111224,1269516,2806869
四川省,  自贡市, Zigong,571519,1998530,20834,242396
四川省,  攀枝花市, P anzhihua,247123,557176,1445,95147
四川省,  泸州市, Luzhou,588394,1096461,4475,251856
四川省,  德阳市, Deyang,767725,1748095,24948,181570
四川省,  绵阳市, Mianyang,1036677,1949099,140161,290743
四川省,  广元市, Guangyuan,172617,858849,1724,157390
四川省,  遂宁市, Suining,401882,1119765,9582,187771
四川省,  内江市, Neijiang,280397,859849,5446,141244
四川省,  乐山市, Leshan,463625,897146,11246,117429
四川省,  南充市, Nanchong,325258,1311271,2580,293022
四川省,  眉山市, Meishan,551864,1147070,9868,183969
四川省,  宜宾市, Yibin,1816752,3606378,55730,476202
四川省,  广安市, Guang'an,196692,784306,517,162327
四川省,  达州市, Dazhou,760630,2286370,9639,290739
四川省,  雅安市, Ya'an,310049,1066895,8503,109402
四川省,  巴中市, Bazhong,158992,931055,2583,203723
四川省,  资阳市, Ziyang,466449,1501085,22615,304084
贵州省,  贵阳市, Guiyang,2191282,3668042,107537,808013
贵州省,  六盘水市, Liupanshui,256756,1036278,3700,304358
贵州省,  遵义市, Zunyi,570366,1658316,2641,473416
贵州省,  安顺市, Anshun,417593,1090347,30158,219069
贵州省,  毕节市, Bijie,255161,1164469,31728,340878
贵州省,  铜仁市, Tongren,206361,616901,8318,145453
云南省,  昆明市, Kunming,4616834,6069069,79296,930666
云南省,  曲靖市, Qujing,539014,1144700,3028,237169
云南省,  玉溪市, Yuxi,888254,1162873,1861,120590
云南省,  保山市, Baoshan,160482,589990,544,132367
云南省,  昭通市, Zhaotong,453358,1686266,2621,228667
云南省,  丽江市, Lijiang,99919,227176,977,39051
云南省,  普洱市, Pu'er,126706,307760,1001,56846
云南省,  临沧市, Lincang,95423,319178,681,61433
西藏自治区,  拉萨市, Lhasa,237767,1211200,1002,241902
西藏自治区,  日喀则市, Xigazê,29887,316948,1416,78890
西藏自治区,  昌都市, Qamdo,30816,334532,44759,
西藏自治区,  林芝市, Nyingchi,71471,651914,1776,86344
西藏自治区,  山南市, Lhoka,115653,1063974,179,23258
西藏自治区,  那曲市, Nagqu,11363,292911,21,81831
陕西省,  西安市, Xi'an,9400235,16222276,643825,2415961
陕西省,  铜川市, Tongchuan,235904,1247820,2491,147727
陕西省,  宝鸡市, Baoji,759601,2457219,75090,352367
陕西省,  咸阳市, Xianyang,839679,1754188,25138,167431
陕西省,  渭南市, Weinan,138149,908219,7188,167470
陕西省,  延安市, Yan'an,204241,768825,1437,149938
陕西省,  汉中市, Hanzhong,326749,1506369,33585,231468
陕西省,  榆林市, Yulin,918721,1430817,16766,318696
陕西省,  安康市, Ankang,48756,646693,458,117642
陕西省,  商洛市, Shangluo,118025,1018278,2866,113393
甘肃省,  兰州市, Lanzhou,1991616,3307946,46561,547187
甘肃省,  嘉峪关市, Jiayuguan,,,,
甘肃省,  金昌市, Jinchang,58786,218066,1874,37429
甘肃省,  白银市, Baiyin,253561,842986,12970,136502
甘肃省,  天水市, Tianshui,319460,1605828,14569,249952
甘肃省,  武威市, Wuwei,128629,756138,7112,147612
甘肃省,  张掖市, Zhangye,119062,455632,6375,87075
甘肃省,  平凉市, Pingliang,61876,437976,4452,74526
甘肃省,  酒泉市, Jiuquan,81479,341363,2401,63789
甘肃省,  庆阳市, Qingyang,101327,375194,3409,87716
甘肃省,  定西市, Dingxi,101196,886802,13776,110028
甘肃省,  陇南市, Longnan,56572,566773,4776,94768
青海省,  西宁市, Xining,329787,1363061,13475,234834
青海省,  海东市, Haidong,64464,587678,1019,78085
宁夏回族自治区,  银川市, Yinchuan,1225952,2835521,65563,345015
宁夏回族自治区,  石嘴山市, Shizuishan,188734,868263,18121,125157
宁夏回族自治区,  吴忠市, Wuzhong,37149,312982,3035,52826
宁夏回族自治区,  固原市, Guyuan,11760,1052446,6002,148889
宁夏回族自治区,  中卫市, Zhongwei,134034,951548,13966,93925
新疆维吾尔自治区,  乌鲁木齐市, Urumqi,3659539,4913578,29952,717491
新疆维吾尔自治区,  克拉玛依市, Karamay,1105504,1267580,25237,268915
新疆维吾尔自治区,  吐鲁番市, Turpan,189955,544550,1576,95212
新疆维吾尔自治区,  哈密市, Hami,436210,765249,1389,105836
