省份,城市,City,城市公共交通客运总量万人次_全市,城市公共交通客运总量万人次_市辖区,客运量公路水路万人次_全市,货运量公路水路万吨_全市
四川省,  遂宁市, Suining,6658,4523,818,6188
四川省,  内江市, Neijiang,2737,5811,,
四川省,  乐山市, Leshan,10479,6680,1978,13867
四川省,  南充市, Nanchong,9265,5600,1804,15898
四川省,  眉山市, Meishan,6010,3396,836,7912
四川省,  宜宾市, Yibin,17624,15215,2097,11227
四川省,  广安市, Guang'an,4876,1800,1187,4424
四川省,  达州市, Dazhou,15656,11687,550,47
四川省,  雅安市, Ya'an,3141,47,41474,6334
四川省,  巴中市, Bazhong,6833,3493,1834,5611
四川省,  资阳市, Ziyang,5554,4941,1281,2536
贵州省,  贵阳市, Guiyang,84031,,,
贵州省,  六盘水市, Liupanshui,24455,,,
贵州省,  遵义市, Zunyi,47595,27351,4034,87
贵州省,  安顺市, Anshun,5999,4872,9361,7400
贵州省,  毕节市, Bijie,13800,1728,1664,605
贵州省,  铜仁市, Tongren,5939,2737,873,67
云南省,  昆明市, Kunming,72803,55228,4550,52064
云南省,  曲靖市, Qujing,11189,7606,5003,34889
云南省,  玉溪市, Yuxi,3310,2556,916,13474
云南省,  保山市, Baoshan,1500,735,2204,11445
云南省,  昭通市, Zhaotong,2367,1164,1476,7447
云南省,  丽江市, Lijiang,2321,1681,1605,3132
云南省,  普洱市, Pu'er,1002,676,430,5926
云南省,  临沧市, Lincang,536,363,232,4815
西藏自治区,  拉萨市, Lhasa,6286,6259,339,1873
西藏自治区,  日喀则市, Xigaze,370,214,239,1143
西藏自治区,  昌都市, Qamdo,382,337,34,693
西藏自治区,  林芝市, Nyingchi,80,80,194,255
西藏自治区,  山南市, Lhoka,304,175,72,629
西藏自治区,  那曲市, Nagqu,47,46,36,220
陕西省,  西安市, Xi'an,199962,199962,4025,29075
陕西省,  铜川市, Tongchuan,2916,2916,465,9388
陕西省,  宝鸡市, Baoji,24188,20730,838,12735
陕西省,  咸阳市, Xianyang,11495,10912,970,13313
陕西省,  渭南市, Weinan,8694,3575,1524,18513
陕西省,  延安市, Yan'an,11004,7770,923,4615
陕西省,  汉中市, Hanzhong,5282,3301,877,4767
陕西省,  榆林市, Yulin,12623,7760,808,31236
陕西省,  安康市, Ankang,4850,3182,1198,4971
陕西省,  商洛市, Shangluo,2706,1071,853,3323
甘肃省,  兰州市, Lanzhou,58264,58264,2595,15831
甘肃省,  嘉峪关市, Jiayuguan,3673,3673,70000,
甘肃省,  金昌市, Jinchang,1167,964,160,1221
甘肃省,  白银市, Baiyin,6784,4953,350,11045
甘肃省,  天水市, Tianshui,13787,10454,2390,2846
甘肃省,  武威市, Wuwei,4416,3439,1380,7621
甘肃省,  张掖市, Zhangye,2596,1640,794,4054
甘肃省,  平凉市, Pingliang,6213,4456,1112,615
甘肃省,  酒泉市, Jiuquan,6065,2476,2503,3862
甘肃省,  庆阳市, Qingyang,4798,2096,374,3072
甘肃省,  定西市, Dingxi,4425,1167,516,5473
甘肃省,  陇南市, Longnan,5294,2723,3785,2187
青海省,  西宁市, Xining,24228,752,9751,
青海省,  海东市, Haidong,2495,339,,
宁夏回族自治区,  银川市, Yinchuan,15726,13025,1201,
宁夏回族自治区,  石嘴山市, Shizuishan,1128,880,597,5482
宁夏回族自治区,  吴忠市, Wuzhong,6361,,,
宁夏回族自治区,  固原市, Guyuan,390,6415,,
宁夏回族自治区,  中卫市, Zhongwei,1018,650,5911,8314
新疆维吾尔自治区,  乌鲁木齐市, Urumqi,71572,71542,985,11092
新疆维吾尔自治区,  克拉玛依市, Karamay,2050,2050,12,2900
新疆维吾尔自治区,  吐鲁番市, Turpan,917,31,186,1418
新疆维吾尔自治区,  哈密市, Hami,1869,1859,90,4607
