省份,城市,City,规模以上工业企业单位数
吉林省,  桦甸市, Huadian,35
吉林省,  舒兰市, Shulan,54
吉林省,  磐石市, Panshi,57
吉林省,  双辽市, Shuangliao,28
吉林省,  梅河口市, Meihekou,76
吉林省,  集安市, Ji'an,31
吉林省,  临江市, Linjiang,26
吉林省,  扶余市, Fuyu,31
吉林省,  洮南市, Taonan,29
吉林省,  大安市, Daan,30
吉林省,  延吉市, Yanji,54
吉林省,  图们市, Tumen,22
吉林省,  敦化市, Dunhua,76
吉林省,  珲春市, Hunchun,73
吉林省,  龙井市, Longjing,20
吉林省,  和龙市, Helong,28
黑龙江省,  尚志市, Shangzhi,47
黑龙江省,  五常市, Wuchang,153
黑龙江省,  讷河市, Nehe,34
黑龙江省,  虎林市, Hulin,56
黑龙江省,  密山市, Mishan,50
黑龙江省,  铁力市, Tieli,20
黑龙江省,  同江市, Tongjiang,37
黑龙江省,  富锦市, Fujin,74
黑龙江省,  抚远市, Fuyuan,10
黑龙江省,  绥芬河市, Suifenhe,77
黑龙江省,  海林市, Hailin,41
黑龙江省,  宁安市, Ning'an,42
黑龙江省,  穆棱市, Muling,51
黑龙江省,  东宁市, Dongning,31
黑龙江省,  北安市, Bei'an,33
黑龙江省,  五大连池市, Wudalianchi,21
黑龙江省,  嫩江市, Nenjiang,22
黑龙江省,  安达市, Anda,76
黑龙江省,  肇东市, Zhaodong,49
黑龙江省,  海伦市, Hailun,39
黑龙江省,  漠河市, Mohe,8
江苏省,  江阴市, Jiangyin,2463
江苏省,  宜兴市, Yixing,1585
江苏省,  新沂市, Xinyi,421
江苏省,  邳州市, Pizhou,542
江苏省,  溧阳市, Liyang,701
江苏省,  常熟市, Changshu,1842
江苏省,  张家港市, Zhangjiagang,1566
江苏省,  昆山市, Kunshan,2678
江苏省,  太仓市, Taicang,1265
江苏省,  启东市, Qidong,758
江苏省,  如皋市, Rugao,1024
江苏省,  海安市, Haian,1315
江苏省,  东台市, Dongtai,720
江苏省,  仪征市, Yizheng,603
江苏省,  高邮市, Gaoyou,763
江苏省,  丹阳市, Danyang,1060
江苏省,  扬中市, Yangzhong,493
江苏省,  句容市, Jurong,314
江苏省,  兴化市, Xinghua,788
江苏省,  靖江市, Jingjiang,730
江苏省,  泰兴市, Taixing,826
浙江省,  建德市, Jiande,412
浙江省,  余姚市, Yuyao,1575
浙江省,  慈溪市, Cixi,2228
浙江省,  瑞安市, Rui'an,1559
浙江省,  乐清市, Yueqing,2046
浙江省,  龙港市, Longgang,478
浙江省,  海宁市, Haining,1623
浙江省,  平湖市, Pinghu,883
浙江省,  桐乡市, Tongxiang,1252
浙江省,  诸暨市, Zhuji,1315
浙江省,  嵊州市, Shengzhou,745
浙江省,  兰溪市, Lanxi,612
浙江省,  义乌市, Yiwu,864
浙江省,  东阳市, Dongyang,696
浙江省,  永康市, Yongkang,1006
浙江省,  江山市, Jiangshan,421
浙江省,  温岭市, Wenling,1344
浙江省,  临海市, Linhai,664
浙江省,  玉环市, Yuhuan,1063
